episode,full_s42,full_s1042,full_s2042,full-uninformed_s42,full-uninformed_s1042,full-uninformed_s2042,no-aux_s42,no-aux_s1042,no-aux_s2042,no-transformer_s42,no-transformer_s1042,no-transformer_s2042,no-transformer-uninformed_s42,no-transformer-uninformed_s1042,no-transformer-uninformed_s2042,onehot-ff_s42,onehot-ff_s1042,onehot-ff_s2042,full-tokenread_s42,full-tokenread_s1042,full-tokenread_s2042,perceiver_s42,perceiver_s1042,perceiver_s2042,perceiver-shared_s42,perceiver-shared_s1042,perceiver-shared_s2042,perceiver-shared-v2_s42,perceiver-shared-v2_s1042,perceiver-shared-v2_s2042,readout-actor_s42,readout-actor_s1042,readout-critic_s42,full_s42_edge_scripted,full_s1042_edge_scripted,full_s2042_edge_scripted,full-uninformed_s42_edge_scripted,full-uninformed_s1042_edge_scripted,full-uninformed_s2042_edge_scripted,no-aux_s42_edge_scripted,no-aux_s1042_edge_scripted,no-aux_s2042_edge_scripted,no-transformer_s42_edge_scripted,no-transformer_s1042_edge_scripted,no-transformer_s2042_edge_scripted,no-transformer-uninformed_s42_edge_scripted,no-transformer-uninformed_s1042_edge_scripted,no-transformer-uninformed_s2042_edge_scripted,onehot-ff_s42_edge_scripted,onehot-ff_s1042_edge_scripted,onehot-ff_s2042_edge_scripted,full-tokenread_s42_edge_scripted,full-tokenread_s1042_edge_scripted,full-tokenread_s2042_edge_scripted,perceiver_s42_edge_scripted,perceiver_s1042_edge_scripted,perceiver_s2042_edge_scripted,perceiver-shared_s42_edge_scripted,perceiver-shared_s1042_edge_scripted,perceiver-shared_s2042_edge_scripted,perceiver-shared-v2_s42_edge_scripted,perceiver-shared-v2_s1042_edge_scripted,perceiver-shared-v2_s2042_edge_scripted,readout-actor_s42_edge_scripted,readout-actor_s1042_edge_scripted,readout-critic_s42_edge_scripted,full_s42_edge_100k,full_s1042_edge_100k,full_s2042_edge_100k,full-uninformed_s42_edge_100k,full-uninformed_s1042_edge_100k,full-uninformed_s2042_edge_100k,no-aux_s42_edge_100k,no-aux_s1042_edge_100k,no-aux_s2042_edge_100k,no-transformer_s42_edge_100k,no-transformer_s1042_edge_100k,no-transformer_s2042_edge_100k,no-transformer-uninformed_s42_edge_100k,no-transformer-uninformed_s1042_edge_100k,no-transformer-uninformed_s2042_edge_100k,onehot-ff_s42_edge_100k,onehot-ff_s1042_edge_100k,onehot-ff_s2042_edge_100k,full-tokenread_s42_edge_100k,full-tokenread_s1042_edge_100k,full-tokenread_s2042_edge_100k,perceiver_s42_edge_100k,perceiver_s1042_edge_100k,perceiver_s2042_edge_100k,perceiver-shared_s42_edge_100k,perceiver-shared_s1042_edge_100k,perceiver-shared_s2042_edge_100k,perceiver-shared-v2_s42_edge_100k,perceiver-shared-v2_s1042_edge_100k,perceiver-shared-v2_s2042_edge_100k,readout-actor_s42_edge_100k,readout-actor_s1042_edge_100k,readout-critic_s42_edge_100k
25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2333,-0.4000,-0.3800,-0.7167,-0.5600,-1.0333,-0.3200,-0.5633,-0.6567,-0.6000,-0.4733,-0.4767,-0.5800,-0.5933,-0.5633,-0.7133,-0.5900,-0.3433,-0.5533,-0.5367,-0.4967,-0.2600,-0.4367,-0.6800,-0.5600,-0.4167,-0.4667,-0.7467,-0.3100,-0.2667,-0.3533,-0.3300,-0.5400,-0.4400,-0.4067,-0.3333,-0.6033,-0.5433,-1.0033,-0.4867,-0.6800,-0.7500,-0.8100,-0.4867,-0.7100,-0.7200,-0.6133,-0.7100,-0.5833,-0.4000,-0.2033,-0.6067,-0.7500,-0.3467,-0.4000,-0.6400,-0.3000,-0.3900,-0.3700,-0.4300,-0.4433,-0.6200,-0.4033,-0.5367,-0.3067,-0.5633
50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1700,-0.7467,-0.2500,-0.4567,-0.8233,-0.5367,-0.7133,-0.4800,-0.3267,-0.4267,-0.5533,-0.4633,-0.6633,-0.5767,-0.5233,-0.4533,-0.2833,-0.1867,-0.3367,-0.4833,-0.3233,-0.2700,-0.4267,-0.9133,-0.5933,-0.4233,-0.7200,-0.2967,-0.2467,-0.3633,,,,-0.3400,-0.4833,-0.2433,-0.5067,-0.7033,-0.5433,-0.5167,-0.7300,-0.4500,-0.6467,-0.4933,-0.7233,-0.7933,-0.7700,-0.5767,-0.4833,-0.2800,-0.3133,-0.4767,-0.7533,-0.3500,-0.2500,-0.7000,-0.8633,-0.4667,-0.1700,-0.3167,-0.3767,-0.3400,-0.4000,,,
75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2833,-0.7833,-0.3100,-0.3067,-0.6900,-0.3700,-0.2800,-0.4100,-0.6833,-0.5133,-0.4400,-0.5633,-0.6067,-1.0300,-0.4133,-0.5300,0.0133,-0.1067,-0.1067,-0.4400,-0.5733,-0.5233,-0.3200,-0.3733,-0.7133,-0.3933,-0.2267,-0.2400,-0.2233,-0.4533,,,,-0.4933,-0.3300,-0.2700,-0.3433,-0.6967,-0.5167,-0.2233,-0.7600,-0.4067,-0.7800,-0.3100,-0.4567,-0.3567,-0.8300,-0.3600,-0.3233,-0.1067,-0.1167,-0.1733,-0.8033,-0.3767,-0.3733,-0.1633,-0.4133,-0.4033,-0.2833,-0.2767,-0.3300,-0.1333,-0.4267,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0900,-0.3467,-0.2733,-0.4367,-0.4267,-0.4833,-0.3867,-0.1433,-0.1067,-0.1267,-0.6367,-0.4033,-0.2333,-0.5667,-0.3967,-0.2100,-0.3667,-0.1067,-0.2433,-0.4900,-0.3000,-0.2767,-0.3367,-0.1533,-0.2567,-0.2200,-0.2100,-0.2133,-0.0967,-0.4833,,,,-0.1967,-0.1167,-0.0833,-0.2800,-0.3700,-0.3367,-0.1500,-0.0333,-0.2633,-0.3333,-0.4367,-0.3067,-0.1467,-0.3933,-0.4033,-0.0867,-0.0100,0.0300,-0.2267,-0.7800,-0.2633,-0.3400,-0.3400,-0.2367,-0.2033,-0.4833,-0.2800,-0.2767,-0.2100,-0.1633,,,
125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2967,-0.1933,-0.3200,,,,-0.2433,-0.2600,-0.0800,,,,,,,0.0533,-0.3167,-0.1400,-0.3933,-0.4867,0.0367,-0.4733,-0.9933,-0.3800,-0.2267,-0.3133,-0.0300,-0.0200,0.0367,-0.2033,,,,-0.2633,-0.1133,0.0433,,,,-0.1567,-0.1933,-0.0267,,,,,,,0.2567,-0.0833,0.1633,-0.2667,-0.8000,-0.0900,-0.3500,-0.2533,-0.6133,-0.2233,-0.4433,-0.1167,-0.2833,-0.1900,-0.2533,,,
150000,-0.4741,-0.2179,-0.3222,,,,,,,,,,,,,,,,,,,,,,-0.4391,-0.4868,-0.2931,-0.4259,-0.5188,-0.3239,,,,-0.3867,-0.2300,-0.0067,,,,0.0933,-0.2700,-0.5333,,,,,,,-0.3167,-0.1833,-0.1800,-0.4833,-0.4500,-0.2633,-0.4200,-0.4600,-0.2633,-0.2600,-0.2533,-0.0467,-0.1667,-0.1600,-0.1633,,,,-0.1300,0.0467,-0.0200,,,,0.0100,-0.1867,-0.0733,,,,,,,0.0067,0.1100,0.0333,-0.0933,-0.7733,0.0300,-0.4400,-0.2333,-0.4467,-0.0500,-0.3833,0.1300,-0.1800,-0.4167,-0.0500,,,
175000,-0.2816,-0.3276,-0.1542,,,,,,,,,,,,,,,,,,,-0.6584,-0.4977,-0.5799,-0.2510,-0.3241,-0.1209,-0.2824,-0.4015,-0.2202,,,,-0.3033,-0.2867,-0.0400,,,,0.0800,0.0500,0.0500,,,,,,,-0.0667,-0.0200,0.1533,-0.3533,-0.5133,-0.0733,-0.2467,-0.1200,-0.1733,-0.0300,-0.1300,0.2167,-0.0767,0.0433,-0.0300,,,,0.0867,-0.0667,0.1533,,,,-0.1133,-0.1033,0.2200,,,,,,,-0.0367,0.0333,-0.0100,0.1133,-0.7067,0.0600,-0.3467,-0.2933,-0.5000,-0.1500,-0.1900,0.0833,0.0733,-0.2633,0.0100,,,
200000,-0.2088,-0.2174,-0.2168,,,,,,,,,,,,,-0.2316,-0.2817,-0.1716,,,,-0.3684,-0.2314,-0.7650,-0.2973,-0.4817,-0.3404,-0.2450,-0.4368,-0.2645,,,,0.0633,-0.0567,0.0167,,,,0.0467,-0.2367,-0.1600,,,,,,,-0.1267,-0.1433,-0.0067,0.0000,-0.3467,-0.2033,0.1133,-0.0733,-0.5767,0.0867,-0.2400,-0.0100,-0.0167,-0.1567,-0.2100,,,,0.2167,0.2500,0.1100,,,,0.2400,-0.0500,0.0600,,,,,,,0.0400,-0.0567,0.0167,0.0567,-0.2033,0.0400,-0.3767,-0.0633,-0.4567,-0.1233,-0.3667,0.1733,0.0033,-0.2467,-0.1133,,,
225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0533,-0.2067,-0.2400,,,,,,,,,,,,,0.1033,0.0700,0.1067,,,,-0.2800,-0.1900,-0.5300,,,,-0.1600,0.0200,0.0333,,,,0.2767,0.1467,0.1800,,,,,,,,,,,,,-0.0033,0.0767,-0.0700,,,,-0.3833,-0.2900,-0.5767,,,,-0.1400,-0.1867,0.1100,,,
250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0233,0.2600,-0.0400,,,,,,,,,,,,,0.0467,0.1333,-0.0567,,,,-0.1433,-0.2533,-0.0367,,,,-0.0833,-0.1267,-0.2933,,,,0.0600,0.1167,0.0733,,,,,,,,,,,,,0.1633,0.0800,0.1000,,,,-0.3900,-0.1133,-0.1267,,,,0.2133,-0.3333,-0.0233,,,
