episode,full_s42,full_s1042,full_s2042,full-uninformed_s42,full-uninformed_s1042,full-uninformed_s2042,no-aux_s42,no-aux_s1042,no-aux_s2042,no-transformer_s42,no-transformer_s1042,no-transformer_s2042,no-transformer-uninformed_s42,no-transformer-uninformed_s1042,no-transformer-uninformed_s2042,onehot-ff_s42,onehot-ff_s1042,onehot-ff_s2042,full-tokenread_s42,full-tokenread_s1042,full-tokenread_s2042,perceiver_s42,perceiver_s1042,perceiver_s2042,perceiver-shared_s42,perceiver-shared_s1042,perceiver-shared_s2042,perceiver-shared-v2_s42,perceiver-shared-v2_s1042,perceiver-shared-v2_s2042,readout-actor_s42,readout-actor_s1042,readout-critic_s42
25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150000,-0.4434,-0.1984,-0.3184,,,,,,,,,,,,,,,,,,,,,,-0.4200,-0.5020,-0.2610,-0.3814,-0.4576,-0.3082,,,
175000,-0.2592,-0.2620,-0.1044,,,,,,,,,,,,,,,,,,,-0.6600,-0.5106,-0.5912,-0.2066,-0.2910,-0.0948,-0.1696,-0.3320,-0.1586,,,
200000,-0.2146,-0.1992,-0.2096,,,,,,,,,,,,,-0.1850,-0.2760,-0.1824,,,,-0.3772,-0.1996,-0.8418,-0.3174,-0.4638,-0.3272,-0.2026,-0.3724,-0.2616,,,
225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300000,-0.1418,-0.0424,-0.1576,,,,,,,,,,,,,-0.2642,-0.1624,-0.1926,,,,-0.3768,-0.2202,-0.5736,,,,-0.1182,-0.1752,-0.2626,,,
325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350000,-0.0348,-0.2186,-0.0296,,,,,,,,,,,,,-0.0060,-0.2928,-0.1380,,,,-0.3276,-0.3568,-0.3290,,,,-0.0192,-0.1140,-0.1140,,,
375000,-0.1206,0.0088,-0.0096,,,,,,,,,,,,,-0.1632,-0.2730,-0.1966,,,,-0.3046,-0.3580,-0.4386,,,,-0.0426,-0.1576,-0.1360,,,
400000,-0.0776,0.0268,0.0572,,,,,,,,,,,,,-0.1130,-0.0800,-0.1956,,,,-0.1930,-0.2146,-0.4172,,,,-0.0322,-0.0966,-0.1136,,,
