agent,lineage,league_episodes,panel,protocol,deals,seed,deal_hash,mean,lo,hi,se,called,jd,checkpoints,source
202609_recall_rc bootstrap seed,perceiver-recall (fresh run 202609_recall_rc),0,PANEL-A,single ckpt x3,3996,42,f17b2dc28d0c,-0.0648,-0.1010,-0.0299,0.0180,-0.1059,-0.0236,checkpoint_300000.pt;checkpoint_350000.pt;checkpoint_400000.pt,runs/202609_recall_rc/program/panel_seed.npz
202609_recall_rc league gen 1,perceiver-recall (fresh run 202609_recall_rc),1000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.1784,0.1494,0.2078,0.0149,0.1396,0.2171,checkpoint_900000.pt;checkpoint_950000.pt;checkpoint_1000000.pt,runs/202609_recall_rc/program/panel_gen1.npz
202609_recall_rc league gen 1,perceiver-recall (fresh run 202609_recall_rc),1000000,PANEL-B,3-ckpt composite,3996,42,5fd2564a6425,-0.0964,-0.1236,-0.0692,0.0139,-0.1045,-0.0883,checkpoint_900000.pt;checkpoint_950000.pt;checkpoint_1000000.pt,runs/202609_recall_rc/program/panelB_gen1.npz
202609_recall_rc league gen 2,perceiver-recall (fresh run 202609_recall_rc),2000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.2152,0.1861,0.2439,0.0147,0.1756,0.2548,checkpoint_1900000.pt;checkpoint_1950000.pt;checkpoint_2000000.pt,runs/202609_recall_rc/program/panel_gen2.npz
202609_recall_rc league gen 2,perceiver-recall (fresh run 202609_recall_rc),2000000,PANEL-B,3-ckpt composite,3996,42,5fd2564a6425,-0.0438,-0.0691,-0.0175,0.0132,-0.0721,-0.0155,checkpoint_1900000.pt;checkpoint_1950000.pt;checkpoint_2000000.pt,runs/202609_recall_rc/program/panelB_gen2.npz
league_retention_pg gen 0 (v2 400k warm start),perceiver-shared-v2 (league_retention_pg),0,PANEL-A,single ckpt x3,3996,42,f17b2dc28d0c,-0.0771,-0.1127,-0.0423,0.0179,-0.0712,-0.0830,warmstart_perceiver-shared-v2_400k.pt;warmstart_perceiver-shared-v2_400k.pt;warmstart_perceiver-shared-v2_400k.pt,runs/league_retention_pg/orchestrator/panel_gen0.npz
league_retention_pg gen 1,perceiver-shared-v2 (league_retention_pg),1000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.0425,0.0100,0.0752,0.0165,0.0045,0.0806,pfsp_perceiver-shared-v2_checkpoint_900000.pt;pfsp_perceiver-shared-v2_checkpoint_950000.pt;pfsp_perceiver-shared-v2_checkpoint_1000000.pt,runs/league_retention_pg/orchestrator/panel_gen1.npz
league_retention_pg gen 2,perceiver-shared-v2 (league_retention_pg),2000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.1323,0.1019,0.1629,0.0157,0.0904,0.1743,pfsp_perceiver-shared-v2_checkpoint_1900000.pt;pfsp_perceiver-shared-v2_checkpoint_1950000.pt;pfsp_perceiver-shared-v2_checkpoint_2000000.pt,runs/league_retention_pg/orchestrator/panel_gen2.npz
league_retention_pg gen 3,perceiver-shared-v2 (league_retention_pg),3000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.1618,0.1303,0.1931,0.0160,0.1161,0.2074,pfsp_perceiver-shared-v2_checkpoint_2900000.pt;pfsp_perceiver-shared-v2_checkpoint_2950000.pt;pfsp_perceiver-shared-v2_checkpoint_3000000.pt,runs/league_retention_pg/orchestrator/panel_gen3.npz
league_retention_pg gen 4,perceiver-shared-v2 (league_retention_pg),4000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.1604,0.1288,0.1916,0.0158,0.1138,0.2070,pfsp_perceiver-shared-v2_checkpoint_3900000.pt;pfsp_perceiver-shared-v2_checkpoint_3950000.pt;pfsp_perceiver-shared-v2_checkpoint_4000000.pt,runs/league_retention_pg/orchestrator/panel_gen4.npz
league_retention_pg gen 5,perceiver-shared-v2 (league_retention_pg),5000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.2220,0.1930,0.2505,0.0146,0.1900,0.2540,pfsp_perceiver-shared-v2_checkpoint_4900000.pt;pfsp_perceiver-shared-v2_checkpoint_4950000.pt;pfsp_perceiver-shared-v2_checkpoint_5000000.pt,runs/league_retention_pg/orchestrator/panel_gen5.npz
league_retention_pg gen 6,perceiver-shared-v2 (league_retention_pg),6000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.2063,0.1766,0.2351,0.0150,0.1684,0.2442,pfsp_perceiver-shared-v2_checkpoint_5900000.pt;pfsp_perceiver-shared-v2_checkpoint_5950000.pt;pfsp_perceiver-shared-v2_checkpoint_6000000.pt,runs/league_retention_pg/orchestrator/panel_gen6.npz
league_retention_pg gen 7,perceiver-shared-v2 (league_retention_pg),7000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.2122,0.1825,0.2410,0.0148,0.1638,0.2607,pfsp_perceiver-shared-v2_checkpoint_6900000.pt;pfsp_perceiver-shared-v2_checkpoint_6950000.pt;pfsp_perceiver-shared-v2_checkpoint_7000000.pt,runs/league_retention_pg/orchestrator/panel_gen7.npz
league_retention_pg gen 8,perceiver-shared-v2 (league_retention_pg),8000000,PANEL-A,3-ckpt composite,3996,42,f17b2dc28d0c,0.2409,0.2120,0.2694,0.0147,0.2031,0.2788,pfsp_perceiver-shared-v2_checkpoint_7900000.pt;pfsp_perceiver-shared-v2_checkpoint_7950000.pt;pfsp_perceiver-shared-v2_checkpoint_8000000.pt,runs/league_retention_pg/orchestrator/panel_gen8.npz
production 30M (final_pfsp_swish_ppo.pt),legacy swish PFSP,30000000,PANEL-A,single ckpt x3,3996,42,f17b2dc28d0c,0.1963,0.1684,0.2233,0.0141,0.1830,0.2097,final_pfsp_swish_ppo.pt;final_pfsp_swish_ppo.pt;final_pfsp_swish_ppo.pt,runs/202609_recall_rc/recall_compare/panelA_30m.npz
